id,name,size,sociallvl,anxietylvl,speed,sleeplength,sleephabits,philosophy
5c97e3c7-8e89-11f1-9280-ea5acd33be6c,Alex,3,inbetween,5,4,2,21,stoicism
648b21ba-8e96-11f1-9f36-ea5acd33be6c,Alex,4,extrovert,1,4,1,1,stoicism
3d7109fb-8eb5-11f1-a455-ea5acd33be6c,Alex,3,introvert,3,3,5,23,stoicism
ccd649df-9031-11f1-8677-f2a2fa6fbe32,Nima,2,extrovert,5,4,4,1,stoicism
8f41c4a8-9049-11f1-966c-f2a2fa6fbe32,Shanik,5,introvert,2,4,3,21,stoicism
ea1cd6a8-945a-11f1-8aab-f012856940d5,Alex,3,inbetween,3,3,3,23,stoicism
eafbbbba-945a-11f1-918a-f012856940d5,Alex,3,inbetween,3,3,3,23,utilitarianism
ec16c8e7-945a-11f1-90e6-f012856940d5,Alex,3,inbetween,3,3,3,23,hedonism
ed07a638-945a-11f1-9be7-f012856940d5,Alex,3,inbetween,3,3,3,23,existentialism
edb970c6-945a-11f1-a96f-f012856940d5,Alex,3,inbetween,3,3,3,23,nihilism
